#s	W0^2		W2^2		W4^2		W6^2		W8^2
1.606483 8.995676e-01 1.156776e-02 2.373162e-02 8.684085e-03 9.073902e-03
2.565068 8.905308e-01 6.162003e-03 1.438869e-02 9.920054e-03 8.468204e-03
3.546544 8.866285e-01 5.179125e-03 8.958378e-03 4.842942e-03 1.075335e-02
4.536495 8.803793e-01 4.408905e-03 9.240223e-03 1.393108e-03 9.953913e-03
5.529850 8.769105e-01 2.763445e-03 7.250820e-03 8.405520e-04 6.949828e-03
6.525134 8.730811e-01 3.472610e-03 8.799926e-03 5.856299e-04 7.177033e-03
7.521930 8.702735e-01 2.027153e-03 9.039008e-03 -3.158246e-04 5.837994e-03
8.519163 8.680063e-01 4.458958e-04 1.058440e-02 7.914010e-04 5.095373e-03
9.517293 8.660464e-01 -9.216565e-04 1.182984e-02 1.324387e-03 4.295803e-03
10.515670 8.641867e-01 -3.978349e-03 1.179108e-02 2.810642e-03 5.946112e-03
11.514260 8.626670e-01 -5.551430e-03 1.179168e-02 1.246887e-03 6.541164e-03
12.513110 8.611595e-01 -6.715792e-03 1.189576e-02 2.119006e-03 5.603676e-03
13.512110 8.593779e-01 -9.410538e-03 1.189884e-02 2.855464e-03 5.005056e-03
14.511250 8.578097e-01 -1.006622e-02 1.093891e-02 2.806623e-03 6.482009e-03
15.510480 8.560237e-01 -1.081033e-02 9.819860e-03 2.435481e-03 6.177749e-03
16.509830 8.541345e-01 -1.140605e-02 9.686778e-03 1.621464e-03 6.992063e-03
17.509240 8.523800e-01 -1.268543e-02 1.025988e-02 2.066350e-03 7.700657e-03
18.508790 8.505237e-01 -1.326048e-02 9.807617e-03 1.011575e-03 7.115579e-03
19.508300 8.487354e-01 -1.381198e-02 1.016761e-02 4.001053e-04 6.992141e-03
20.507860 8.471020e-01 -1.446921e-02 1.074417e-02 -5.826041e-04 6.984494e-03
21.507550 8.454487e-01 -1.551567e-02 1.127567e-02 -6.322407e-04 7.014884e-03
22.507150 8.438688e-01 -1.640593e-02 1.224948e-02 -1.468511e-03 6.250053e-03
23.506840 8.424231e-01 -1.739264e-02 1.266955e-02 -2.417961e-03 6.155919e-03
24.506570 8.408888e-01 -1.896295e-02 1.348545e-02 -3.249128e-03 5.683980e-03
25.506300 8.394861e-01 -1.989854e-02 1.420666e-02 -3.352082e-03 5.142714e-03
26.506060 8.379057e-01 -2.119459e-02 1.479456e-02 -3.533110e-03 5.205870e-03
27.505810 8.364446e-01 -2.222171e-02 1.438066e-02 -3.425235e-03 4.508242e-03
28.505600 8.348951e-01 -2.304035e-02 1.438846e-02 -3.528039e-03 5.100971e-03
29.505400 8.333461e-01 -2.429547e-02 1.481384e-02 -2.762651e-03 5.226750e-03
30.505230 8.317853e-01 -2.507819e-02 1.498681e-02 -3.132917e-03 5.988880e-03
31.505030 8.302974e-01 -2.626287e-02 1.524146e-02 -3.278859e-03 5.956583e-03
32.504890 8.288498e-01 -2.696282e-02 1.543988e-02 -3.223793e-03 6.429933e-03
33.504730 8.272056e-01 -2.799572e-02 1.593884e-02 -3.406148e-03 6.436598e-03
34.504600 8.256841e-01 -2.907464e-02 1.642110e-02 -3.950188e-03 7.331129e-03
35.504470 8.242373e-01 -3.026959e-02 1.694051e-02 -4.057708e-03 7.062649e-03
36.504320 8.228584e-01 -3.110733e-02 1.730513e-02 -4.173004e-03 7.184404e-03
37.504210 8.214159e-01 -3.216205e-02 1.764746e-02 -4.378691e-03 6.953476e-03
38.504100 8.199059e-01 -3.334960e-02 1.802347e-02 -4.936833e-03 7.188358e-03
39.503970 8.184666e-01 -3.455052e-02 1.798602e-02 -4.951049e-03 6.983768e-03
40.503870 8.169852e-01 -3.544888e-02 1.846996e-02 -4.980761e-03 7.263009e-03
41.503780 8.155012e-01 -3.652692e-02 1.875252e-02 -5.058441e-03 7.369013e-03
42.503670 8.140852e-01 -3.747231e-02 1.911372e-02 -5.319534e-03 7.520155e-03
43.503590 8.125906e-01 -3.857943e-02 1.941274e-02 -5.274633e-03 7.621927e-03
44.503490 8.111455e-01 -3.971836e-02 1.960775e-02 -5.621983e-03 7.746508e-03
45.503420 8.097053e-01 -4.080801e-02 2.013197e-02 -5.808400e-03 7.861283e-03
46.503360 8.083050e-01 -4.185432e-02 2.045806e-02 -5.986591e-03 7.918575e-03
47.503280 8.068363e-01 -4.304741e-02 2.077068e-02 -6.047242e-03 8.009488e-03
48.503200 8.053628e-01 -4.424637e-02 2.088806e-02 -6.568403e-03 8.057679e-03
49.503130 8.039516e-01 -4.529498e-02 2.146145e-02 -6.606235e-03 8.441098e-03
50.503070 8.025342e-01 -4.645879e-02 2.173485e-02 -6.906450e-03 8.553307e-03
51.503010 8.010724e-01 -4.767741e-02 2.189836e-02 -6.649062e-03 8.493447e-03
52.502940 7.997018e-01 -4.872761e-02 2.226861e-02 -7.037862e-03 8.676859e-03
53.502890 7.982437e-01 -4.979126e-02 2.282453e-02 -6.918299e-03 8.869587e-03
54.502840 7.967996e-01 -5.084785e-02 2.321751e-02 -7.041490e-03 9.136341e-03
55.502780 7.954094e-01 -5.194725e-02 2.342615e-02 -7.167001e-03 9.278293e-03
56.502730 7.939836e-01 -5.297434e-02 2.388896e-02 -7.242238e-03 9.360307e-03
57.502670 7.926022e-01 -5.418885e-02 2.437624e-02 -7.341531e-03 9.419651e-03
58.502630 7.912307e-01 -5.530152e-02 2.489271e-02 -7.351847e-03 9.549306e-03
59.502580 7.898167e-01 -5.621970e-02 2.529804e-02 -7.394657e-03 9.733411e-03
60.502530 7.884718e-01 -5.720169e-02 2.572233e-02 -7.484252e-03 9.797496e-03
61.502490 7.871094e-01 -5.842978e-02 2.630428e-02 -7.575905e-03 9.889792e-03
62.502450 7.856938e-01 -5.933982e-02 2.662720e-02 -7.706478e-03 9.799403e-03
63.502410 7.843745e-01 -6.061473e-02 2.715277e-02 -8.041477e-03 9.638237e-03
64.502350 7.829802e-01 -6.158559e-02 2.745756e-02 -8.131647e-03 9.721933e-03
65.502330 7.816274e-01 -6.262555e-02 2.790602e-02 -8.315741e-03 9.832705e-03
66.502290 7.802562e-01 -6.370765e-02 2.844216e-02 -8.741748e-03 9.714313e-03
67.502240 7.788848e-01 -6.475300e-02 2.868359e-02 -8.904037e-03 9.704877e-03
68.502210 7.775198e-01 -6.602632e-02 2.897797e-02 -9.228259e-03 9.460240e-03
69.502180 7.761633e-01 -6.707237e-02 2.932885e-02 -9.426551e-03 9.549998e-03
70.502150 7.747866e-01 -6.820091e-02 2.980682e-02 -9.650336e-03 9.690070e-03
71.502100 7.734321e-01 -6.930734e-02 3.005913e-02 -9.848898e-03 9.771805e-03
72.502090 7.721009e-01 -7.044874e-02 3.027223e-02 -1.019470e-02 9.915349e-03
73.502050 7.707222e-01 -7.160939e-02 3.072712e-02 -1.033290e-02 9.962720e-03
74.502030 7.693802e-01 -7.276617e-02 3.107071e-02 -1.061984e-02 1.009678e-02
75.501990 7.680370e-01 -7.394562e-02 3.139058e-02 -1.078779e-02 1.028638e-02
76.501960 7.666950e-01 -7.506814e-02 3.160020e-02 -1.097454e-02 1.044774e-02
77.501930 7.653638e-01 -7.615566e-02 3.198761e-02 -1.127420e-02 1.071319e-02
78.501910 7.640139e-01 -7.739273e-02 3.241724e-02 -1.151174e-02 1.067722e-02
